id,name,lat,lng,alt,address,capacity,cross_street
413,"413 - C/ BRUC, 66",41.393512,2.170718,42,"413 - C/ BRUC, 66",32,
414,"414 - C/ CASP, 67",41.393744,2.176451,21,"414 - C/ CASP, 67",33,
415,"415 - RAMBLA DEL RAVAL, 13",41.379374,2.168921,24,"415 - RAMBLA DEL RAVAL, 13",25,
416,"416 - RAMBLA DEL RAVAL, 20",41.378134,2.16965,24,"416 - RAMBLA DEL RAVAL, 20",27,
418,418 - PG. DE LLUíS COMPANYS (ARC DE TRIOMF),41.390943,2.180251,16,418 - PG. DE LLUíS COMPANYS (ARC DE TRIOMF),27,
419,419 - PG. DE LLUíS COMPANYS (ARC DE TRIOMF),41.391299,2.180828,16,419 - PG. DE LLUíS COMPANYS (ARC DE TRIOMF),33,
420,"420 - GRAN VIA DE LES CORTS CATALANES, 361 ",41.374213,2.148082,61,"420 - GRAN VIA DE LES CORTS CATALANES, 361 ",27,
421,421 - PL. DE JOAN PEIRÓ,41.378031,2.139124,45,421 - PL. DE JOAN PEIRÓ,32,
423,"423 - C/ HONDURAS, 32-34",41.420201,2.189532,18,"423 - C/ HONDURAS, 32-34",32,
424,424 - PG. MARÍTIM DE LA BARCELONETA,41.379632,2.192662,5,424 - PG. MARÍTIM DE LA BARCELONETA,27,
425,"425 - C/ DE CERVELLÓ, 5",41.37652,2.1749,24,"425 - C/ DE CERVELLÓ, 5",27,
426,"426 - C/ DE RIBES, 59 B",41.398305,2.183023,21,"426 - C/ DE RIBES, 59 B",31,
427,"427 - C/ DE SANT PAU, 119/ RONDA SANT PAU",41.375336,2.168007,24,"427 - C/ DE SANT PAU, 119/ RONDA SANT PAU",20,
428,"428 - C/ PUJADES, 103",41.398389,2.196261,11,"428 - C/ PUJADES, 103",27,
492,492 - PL. TETUAN,41.3944248,2.1751026,21,492 - PL. TETUAN,24,
494,494 - RAMBLA CATALUNYA/DIPUTACIO,41.3896703,2.1654279,41,494 - RAMBLA CATALUNYA/DIPUTACIO,23,
495,495 - C/ DIPUTACIÓ - TARRAGONA,41.3767081,2.1483947,45,495 - C/ DIPUTACIÓ - TARRAGONA,23,
496,"496 - C/ PROVENÇA,  445",41.404839,2.17482,21,"496 - C/ PROVENÇA, 445",18,
